Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure Name,Measure ID,Compared to National,Denominator,Payment,Lower Estimate,Higher Estimate,Footnote,Measure Start Date,Measure End Date,Location
010051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,EUTAW,AL,35462,GREENE,2053723388,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"509 WILSON AVENUE
EUTAW, AL 35462
(32.84235320400006, -87.89002235799995)"
010052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,DADEVILLE,AL,36853,TALLAPOOSA,2568257821,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"201 MARIARDEN ROAD
DADEVILLE, AL 36853
(32.81867788400007, -85.74161727099994)"
010054,DECATUR MORGAN HOSPITAL-PARKWAY CAMPUS,1874 BELTLINE RD SW,DECATUR,AL,35601,MORGAN,2563502211,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,38,$21641.00,18713,25040,,07/01/2010,06/30/2013,"1874 BELTLINE RD SW
DECATUR, AL 35601
(34.57574902700003, -87.01654568799995)"
010055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,HOUSTON,3347935000,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,329,$21619.00,20189,23161,,07/01/2010,06/30/2013,"4370 WEST MAIN STREET
DOTHAN, AL 36305
(31.235826770000074, -85.45721340799997)"
010056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,JEFFERSON,2059397000,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,255,$21876.00,20295,23632,,07/01/2010,06/30/2013,"810 ST VINCENT'S DRIVE
BIRMINGHAM, AL 35205
(33.50797325600007, -86.78874763899995)"
010058,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,AL,35042,BIBB,2059264881,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"208 PIERSON AVE
CENTREVILLE, AL 35042
(32.95133452600004, -87.14764515199994)"
010059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,AL,35650,LAWRENCE,2569742200,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"202 HOSPITAL STREET
MOULTON, AL 35650
(34.482945975000064, -87.28600283599997)"
010061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,JACKSON,2562594444,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"380 WOODS COVE ROAD
SCOTTSBORO, AL 35768
(34.66168264100003, -86.04673208299994)"
010062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,GENEVA,3346843655,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"1200 W MAPLE AVENUE
GENEVA, AL 36340
(31.04804746900004, -85.89112586699997)"
010065,RUSSELL HOSPITAL,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,TALLAPOOSA,2563297100,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,56,$23084.00,20101,26578,,07/01/2010,06/30/2013,"3316 HIGHWAY 280
ALEXANDER CITY, AL 35010
(32.931334950000064, -85.96878845399993)"
010069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,BARBOUR,3346887271,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"820 W WASHINGTON ST
EUFAULA, AL 36027
(31.88801827700007, -85.15606109899994)"
010073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,AL,36251,CLAY,2563542131,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"83825 HIGHWAY 9 P O BOX 1270
ASHLAND, AL 36251
(33.27665890500003, -85.82361169599994)"
010078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,CALHOUN,2562355121,Payment for heart attack patients,PAYM_30_AMI,Greater than the National Average Payment,389,$23027.00,21579,24537,,07/01/2010,06/30/2013,"400 EAST 10TH STREET
ANNISTON, AL 36207
(33.657075605000045, -85.82345700699994)"
010079,ATHENS-LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,LIMESTONE,2562339292,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"700 WEST MARKET STREET
ATHENS, AL 35611
(34.80357778700005, -86.97837640099993)"
010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,BALDWIN,2519493400,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,80,$22248.00,19663,25236,,07/01/2010,06/30/2013,"1613 NORTH MCKENZIE STREET
FOLEY, AL 36535
(30.425680471000078, -87.68324211899994)"
010085,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,MORGAN,2563412000,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,73,$20750.00,18426,23257,,07/01/2010,06/30/2013,"1201 7TH STREET SE
DECATUR, AL 35601
(34.59115554700003, -86.97263926799997)"
010086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,MARION,2054877736,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,31,$20293.00,17474,23810,,07/01/2010,06/30/2013,"1530 U S HIGHWAY 43
WINFIELD, AL 35594
(33.929365020000034, -87.82463746799993)"
010087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,MOBILE,AL,36617,MOBILE,2514717110,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"2451 FILLINGIM STREET
MOBILE, AL 36617
(30.708153140000036, -88.09899576799995)"
010089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,WALKER,2053874000,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,65,$20070.00,17684,22847,,07/01/2010,06/30/2013,"3400 HIGHWAY 78 EAST
JASPER, AL 35502
(33.84104873800004, -87.23655598599998)"
010090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,MOBILE,2516331000,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,208,$21299.00,19629,23206,,07/01/2010,06/30/2013,"6801 AIRPORT BOULEVARD
MOBILE, AL 36608
(30.68208912600005, -88.19924246199997)"
010091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,GROVE HILL,AL,36451,CLARKE,2512753191,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"295 JACKSON HWY S
GROVE HILL, AL 36451
(31.69477711500008, -87.77707493799994)"
010092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,TUSCALOOSA,2057597111,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,384,$21663.00,20362,23069,,07/01/2010,06/30/2013,"809 UNIVERSITY BOULEVARD EAST
TUSCALOOSA, AL 35401
(33.20617336400005, -87.52548321599994)"
010095,HALE COUNTY HOSPITAL,508 GREEN STREET,GREENSBORO,AL,36744,HALE,3346243024,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"508 GREEN STREET
GREENSBORO, AL 36744
(32.694750111000076, -87.58692229699994)"
010097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,AL,36092,ELMORE,3345674311,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"500 HOSPITAL DRIVE
WETUMPKA, AL 36092
(32.55226755500007, -86.18703624199998)"
010099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,ESCAMBIA,2518678061,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,32,$19271.00,16438,22317,,07/01/2010,06/30/2013,"1301 BELLEVILLE AVENUE
BREWTON, AL 36426
(31.127213651000034, -87.07247839899998)"
010100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,BALDWIN,2519282375,Payment for heart attack patients,PAYM_30_AMI,Greater than the National Average Payment,171,$23737.00,21506,26104,,07/01/2010,06/30/2013,"750 MORPHY AVENUE
FAIRHOPE, AL 36532
(30.519966314000044, -87.88950804299998)"
010101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,TALLADEGA,2567614542,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,28,$20994.00,17977,24518,,07/01/2010,06/30/2013,"604 STONE AVENUE
TALLADEGA, AL 35161
(33.43980936100007, -86.09087857499998)"
010102,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,CAMDEN,AL,36726,WILCOX,3346824131,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"317 MCWILLIAMS AVENUE
CAMDEN, AL 36726
(31.99807089600006, -87.29947924799995)"
010103,BAPTIST MEDICAL CENTER-PRINCETON,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,JEFFERSON,2057833800,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,292,$20438.00,19030,21917,,07/01/2010,06/30/2013,"701 PRINCETON AVENUE SOUTHWEST
BIRMINGHAM, AL 35211
(33.499166366000054, -86.84589505599996)"
010104,TRINITY MEDICAL CENTER,800 MONTCLAIR RD,BIRMINGHAM,AL,35213,JEFFERSON,2055921000,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,287,$20072.00,18694,21601,,07/01/2010,06/30/2013,"800 MONTCLAIR RD
BIRMINGHAM, AL 35213
(33.51533518400004, -86.74670548499995)"
010108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,3343614267,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,28,$22842.00,19686,26801,,07/01/2010,06/30/2013,"124 S MEMORIAL DR
PRATTVILLE, AL 36067
(32.464199515000075, -86.45095276799998)"
010109,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON DRIVE,CARROLLTON,AL,35447,PICKENS,2053678111,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"241 ROBERT K WILSON DRIVE
CARROLLTON, AL 35447
(33.274750813000026, -88.08964716199995)"
010110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,BULLOCK,3347382140,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"102 WEST CONECUH AVENUE
UNION SPRINGS, AL 36089
(32.141250273000026, -85.70150667999997)"
010112,BRYAN W WHITFIELD MEM HOSP INC,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,MARENGO,3342894000,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"105 HIGHWAY 80 EAST
DEMOPOLIS, AL 36732
(32.50364788300004, -87.83705445699997)"
010113,MOBILE INFIRMARY,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36652,MOBILE,2514354700,Payment for heart attack patients,PAYM_30_AMI,Greater than the National Average Payment,249,$24626.00,22597,26762,,07/01/2010,06/30/2013,"5 MOBILE INFIRMARY CIRCLE
MOBILE, AL 36652
(30.695458384000062, -88.08085473499995)"
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021,JEFFERSON,2054817000,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,92,$20657.00,18539,23109,,07/01/2010,06/30/2013,"995 9TH AVENUE SOUTHWEST
BESSEMER, AL 35021
(33.373014854000076, -86.99174385199996)"
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,DALLAS,3344184100,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,163,$20424.00,18730,22386,,07/01/2010,06/30/2013,"1015 MEDICAL CENTER PARKWAY
SELMA, AL 36701
(32.43003551100003, -87.05490514999997)"
010120,MONROE COUNTY HOSPITAL,"2016 SOUTH ALABAMA AVENUE, BOX 886",MONROEVILLE,AL,36460,MONROE,2515753111,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"2016 SOUTH ALABAMA AVENUE, BOX 886
MONROEVILLE, AL 36460
(31.49838524300003, -87.31923289899999)"
010125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E     POST OFFICE BOX 780,HALEYVILLE,AL,35565,WINSTON,2054857117,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"42024 HIGHWAY 195 E POST OFFICE BOX 780
HALEYVILLE, AL 35565
(34.241099199000075, -87.59093156099999)"
010126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,PIKE,3346705000,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"1330 HIGHWAY 231 SOUTH
TROY, AL 36081
(31.780395441000053, -85.94585267399998)"
010128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,JACKSON,AL,36545,CLARKE,2512469021,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"220 HOSPITAL DRIVE
JACKSON, AL 36545
(31.530602078000072, -87.89346675299998)"
010129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,AL,36507,BALDWIN,2519375521,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"1815 HAND AVENUE
BAY MINETTE, AL 36507
(30.90193608800007, -87.78311330099996)"
010130,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,PELL CITY,AL,35125,SAINT CLAIR,2053383301,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"7063 VETERANS PARKWAY
PELL CITY, AL 35125
(33.604999676000034, -86.30046997699998)"
010131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,MADISON,2568823100,Payment for heart attack patients,PAYM_30_AMI,Less than the National Average Payment,170,$19376.00,17781,21148,,07/01/2010,06/30/2013,"ONE HOSPITAL DR SE
HUNTSVILLE, AL 35801
(34.692473310000025, -86.57259625099994)"
010138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,AL,36925,SUMTER,2053925263,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"751 DERBY DRIVE
YORK, AL 36925
(32.49162270900007, -88.29593628999999)"
