Source,Earthquake ID,Version,Datetime,Magnitude,Depth,Number of Stations,Region,Location
pr,12258003,0,09/14/2012 06:05:59 AM,2.9,92,3,Virgin Islands region,"(18.9986, -63.7915)"
ak,10559186,2,09/14/2012 06:02:58 AM,2.2,1.1,16,"Andreanof Islands, Aleutian Islands, Alaska","(51.4284, -178.2566)"
ci,15215377,2,09/14/2012 05:51:25 AM,1.3,6.6,33,Central California,"(36.006, -118.3977)"
ci,15215361,2,09/14/2012 05:29:22 AM,1.3,1.9,48,Southern California,"(33.1655, -115.6505)"
ak,10559178,1,09/14/2012 05:26:29 AM,1.1,87.6,8,Central Alaska,"(63.7242, -149.3858)"
ci,15215353,2,09/14/2012 05:05:55 AM,1,11.6,21,"Greater Los Angeles area, California","(33.9623, -117.2165)"
us,c000cnlk,E,09/14/2012 04:51:47 AM,6.2,19.8,521,"Kepulauan Mentawai region, Indonesia","(-3.3626, 100.5877)"
nc,71841955,1,09/14/2012 04:24:16 AM,1.3,3.1,28,Northern California,"(38.8012, -122.8147)"
pr,12258000,0,09/14/2012 04:04:45 AM,3.2,92,7,Dominican Republic region,"(17.9265, -68.4921)"
ci,15215337,2,09/14/2012 03:49:43 AM,1,7.3,35,Southern California,"(35.7627, -117.724)"
ci,15215321,2,09/14/2012 03:33:19 AM,1,14.8,47,Southern California,"(33.3552, -116.3842)"
nn,00388534,9,09/14/2012 03:22:41 AM,1,8.4,5,Nevada,"(36.8733, -115.7475)"
us,c000cnks,B,09/14/2012 03:21:47 AM,5,26.9,167,"northern Xinjiang, China","(43.6271, 82.3568)"
ak,10559149,2,09/14/2012 03:03:40 AM,1.4,5.2,6,"Southern Yukon Territory, Canada","(60.1097, -139.4223)"
ci,15215313,2,09/14/2012 03:00:02 AM,1.1,5,49,Southern California,"(33.135, -116.3897)"
uu,09140237,2,09/14/2012 02:37:43 AM,1.6,4.2,8,Utah,"(37.1703, -112.7897)"
ci,15215297,2,09/14/2012 01:54:24 AM,1.2,4.9,30,Central California,"(36.0037, -118.3938)"
pr,12258002,0,09/14/2012 01:54:10 AM,3.1,25,3,Virgin Islands region,"(19.6145, -64.3056)"
nc,71841885,1,09/14/2012 12:50:52 PM,1.9,0.4,24,Northern California,"(38.7753, -122.7392)"
pr,12258001,0,09/14/2012 12:46:52 PM,3.3,44,6,Puerto Rico region,"(19.5287, -65.6983)"
ci,15215241,2,09/14/2012 12:45:54 PM,1.1,13.2,53,Southern California,"(33.6402, -116.8368)"
nn,00388528,9,09/14/2012 12:29:50 PM,1.3,5.7,13,Nevada,"(38.6657, -117.9548)"
nn,00388527,9,09/14/2012 12:27:57 PM,1.1,4.1,15,Nevada,"(36.2328, -115.701)"
nc,71841870,2,09/14/2012 12:19:17 PM,1.5,0,30,Central California,"(36.8902, -121.6108)"
hv,60397601,1,09/14/2012 12:15:36 PM,1.7,11.1,12,"Island of Hawaii, Hawaii","(19.1908, -155.6212)"
nc,71841865,0,09/14/2012 12:14:37 PM,1.4,4.8,11,Northern California,"(37.5552, -121.6882)"
us,c000cng3,9,09/13/2012 11:40:02 AM,5.4,9.8,94,"south of Java, Indonesia","(-10.8088, 113.7383)"
se,091412a,A,09/13/2012 11:40:02 AM,2.2,20.3,11,eastern Tennessee,"(35.6933, -84.344)"
ci,15215201,2,09/13/2012 11:38:39 AM,1.1,10,7,Southern California,"(33.213, -115.636)"
ci,15215185,2,09/13/2012 11:31:49 AM,1.7,50.2,8,Southern California,"(33.2717, -115.9177)"
ak,10559087,1,09/13/2012 11:27:18 AM,1.5,99.4,10,Central Alaska,"(63.3561, -149.7011)"
nn,00388520,9,09/13/2012 11:07:49 AM,2.3,9.2,9,Nevada,"(38.6644, -117.938)"
nc,71841845,2,09/13/2012 11:07:25 AM,1.3,6.7,28,Northern California,"(37.3117, -121.6813)"
uw,60451507,2,09/13/2012 11:06:29 AM,2.3,0,11,"British Columbia, Canada","(49.4012, -120.5032)"
ak,10559075,1,09/13/2012 11:06:07 AM,1.7,0,11,northern Alaska,"(65.0009, -147.4357)"
ak,10559061,1,09/13/2012 10:55:56 AM,2.1,23.4,31,Central Alaska,"(62.0548, -148.7841)"
hv,60397571,1,09/13/2012 10:55:47 AM,2.2,7.3,41,"Island of Hawaii, Hawaii","(19.8818, -155.9245)"
ak,10559058,1,09/13/2012 10:53:23 AM,2.5,18.5,18,Central Alaska,"(64.0492, -148.9831)"
pr,12257009,0,09/13/2012 10:51:44 AM,2.3,18,5,"Mona Passage, Puerto Rico","(18.4414, -67.3393)"
us,c000cnd8,7,09/13/2012 10:41:14 AM,4.9,35.3,33,Solomon Islands,"(-11.2384, 162.6645)"
ak,10559055,2,09/13/2012 10:39:47 AM,2.5,39.9,12,"Unimak Island region, Alaska","(53.5854, -163.5095)"
ak,10559036,2,09/13/2012 09:54:28 AM,1.2,28.4,9,Southern Alaska,"(61.2772, -146.6906)"
ak,10559018,2,09/13/2012 09:28:06 AM,1.1,47.4,8,Southern Alaska,"(61.571, -149.9341)"
nc,71841830,0,09/13/2012 09:25:20 AM,1.4,4.6,9,Northern California,"(38.5558, -122.4548)"
nc,71841825,2,09/13/2012 09:24:16 AM,1.2,5.4,27,Central California,"(36.5088, -121.0938)"
us,c000cnb5,9,09/13/2012 09:16:43 AM,4.8,328.3,275,Tonga,"(-15.563, -175.6104)"
ci,15215177,2,09/13/2012 09:16:29 AM,1.1,8.3,43,Southern California,"(33.0465, -116.448)"
ci,15215169,2,09/13/2012 09:06:11 AM,1.1,1.6,32,Central California,"(36.0487, -117.6158)"
nc,71841815,0,09/13/2012 09:03:37 AM,1.2,1.4,23,Northern California,"(38.8212, -122.7712)"
ci,15215161,4,09/13/2012 08:50:36 AM,1.8,10.7,26,Southern California,"(34.2485, -117.4638)"
nc,71841810,0,09/13/2012 08:48:07 AM,1.8,1.1,17,Northern California,"(38.7788, -122.7558)"
ak,10558985,2,09/13/2012 08:45:32 AM,1.3,58.1,13,"Kenai Peninsula, Alaska","(60.791, -150.917)"
nc,71841805,2,09/13/2012 08:24:03 AM,1.2,5.2,20,Central California,"(36.5922, -121.193)"
ak,10558970,2,09/13/2012 08:15:48 AM,1.4,82.5,14,Southern Alaska,"(61.2836, -151.6028)"
nc,71841790,2,09/13/2012 08:10:32 AM,1.7,0,16,"San Francisco Bay area, California","(37.505, -122.413)"
ak,10558965,1,09/13/2012 08:06:52 AM,1.2,3.2,10,Central Alaska,"(63.5619, -147.1974)"
ak,10558957,2,09/13/2012 07:54:46 AM,2.7,3.9,10,"Rat Islands, Aleutian Islands, Alaska","(51.967, 178.2324)"
ci,15215145,2,09/13/2012 07:54:15 AM,1.9,0,18,Central California,"(37.0583, -117.9577)"
ak,10558953,1,09/13/2012 07:51:24 AM,1.7,85.2,19,Central Alaska,"(62.2043, -150.7411)"
nc,71841765,5,09/13/2012 07:38:02 AM,1.4,8.7,34,Central California,"(37.1607, -118.659)"
nc,71841755,9,09/13/2012 07:25:20 AM,2.1,6.6,39,Northern California,"(39.716, -123.171)"
nn,00388502,9,09/13/2012 07:24:26 AM,2.1,8.8,17,Nevada,"(38.4232, -118.4535)"
nc,71841745,2,09/13/2012 07:06:16 AM,1.3,0,18,"San Francisco Bay area, California","(37.3262, -122.1065)"
ci,15215129,2,09/13/2012 07:05:02 AM,1.3,0,36,Southern California,"(34.3248, -116.9463)"
ak,10558932,1,09/13/2012 06:35:03 AM,1.1,16.1,5,northern Alaska,"(65.3722, -147.8076)"
ak,10558929,1,09/13/2012 06:31:18 AM,1.5,30.2,6,northern Alaska,"(65.334, -147.8839)"
ci,15215121,2,09/13/2012 06:17:58 AM,1.8,5.2,21,Southern California,"(34.6885, -116.311)"
pr,12257008,0,09/13/2012 06:09:12 AM,3.1,8,4,Virgin Islands region,"(19.6175, -64.3537)"
nc,71841710,4,09/13/2012 06:04:26 AM,1,6.2,25,Central California,"(35.547, -120.7753)"
ci,37090252,2,09/13/2012 06:02:21 AM,1.1,8.6,26,Central California,"(35.835, -117.5462)"
ak,10558880,1,09/13/2012 05:53:45 AM,1.8,4.1,15,Central Alaska,"(63.0504, -151.7238)"
ci,15215105,2,09/13/2012 05:37:37 AM,1.4,0,17,Southern California,"(35.0467, -118.3215)"
nc,71841700,3,09/13/2012 05:37:17 AM,1.8,5.9,51,Central California,"(35.6877, -121.0807)"
uw,60451342,1,09/13/2012 05:33:45 AM,3.3,12.7,38,Washington,"(47.3452, -120.0137)"
us,c000cn10,5,09/13/2012 05:23:47 AM,5.1,9.8,204,north of Severnaya Zemlya,"(82.8777, 116.9604)"
us,c000cn0t,6,09/13/2012 05:22:08 AM,5.2,38.3,294,"near the east coast of Honshu, Japan","(35.7614, 140.4498)"
ci,15215089,2,09/13/2012 05:16:24 AM,1.1,16.8,64,"Greater Los Angeles area, California","(33.9908, -117.1887)"
ak,10558852,2,09/13/2012 05:13:43 AM,2.9,2.7,11,"Rat Islands, Aleutian Islands, Alaska","(51.9537, 178.5294)"
nc,71841695,2,09/13/2012 04:54:28 AM,2,6.7,71,Northern California,"(38.4477, -122.2533)"
ak,10558834,1,09/13/2012 04:50:17 AM,1.9,109.5,21,Central Alaska,"(63.1971, -149.1963)"
ak,10558828,2,09/13/2012 04:40:32 AM,1.9,135.5,20,Southern Alaska,"(60.3288, -153.0507)"
ci,15215081,2,09/13/2012 04:33:05 AM,1.3,15.2,16,Southern California,"(33.3655, -116.2412)"
ci,15215073,2,09/13/2012 04:25:22 AM,1.1,3.8,25,Central California,"(36.01, -118.398)"
ci,15215065,2,09/13/2012 04:20:11 AM,2.4,10,17,"Baja California, Mexico","(31.8108, -116.2713)"
pr,12257006,0,09/13/2012 04:08:07 AM,2.6,29,4,Puerto Rico region,"(19.0506, -66.7484)"
pr,12257007,0,09/13/2012 04:02:09 AM,2.1,31,3,Virgin Islands region,"(18.951, -64.3908)"
pr,12257005,0,09/13/2012 04:00:31 AM,2.1,10,3,Virgin Islands region,"(18.9825, -64.5156)"
nm,091312c,A,09/13/2012 03:56:02 AM,1.4,7.4,8,Tennessee,"(36.2616, -89.4835)"
pr,12257004,0,09/13/2012 03:51:17 AM,3,52,6,Puerto Rico region,"(18.9694, -66.8226)"
uw,60451252,4,09/13/2012 03:44:59 AM,2.4,2.7,41,"Mount Rainier area, Washington","(46.854, -121.7577)"
ak,10558806,1,09/13/2012 03:14:37 AM,1.2,80.6,4,Central Alaska,"(62.1889, -151.4269)"
nc,71841655,3,09/13/2012 02:54:33 AM,1.5,11,19,Northern California,"(38.6335, -122.3728)"
ak,10558803,2,09/13/2012 02:47:50 AM,1,49.6,11,Southern Alaska,"(61.4079, -150.359)"
ak,10558799,1,09/13/2012 02:14:49 AM,2,1.2,9,northern Alaska,"(65.6149, -142.9957)"
ci,15215049,4,09/13/2012 02:13:55 AM,1.8,8.7,58,Southern California,"(33.197, -116.0323)"
ci,15215041,2,09/13/2012 02:02:18 AM,1.4,20.3,8,Southern California,"(33.9545, -116.7567)"
ci,15215033,2,09/13/2012 01:51:49 AM,1.7,9,52,Central California,"(35.8373, -117.5448)"
ci,15215025,2,09/13/2012 01:44:54 AM,1.3,6.8,17,Central California,"(35.6768, -118.3812)"
ci,15215017,2,09/13/2012 01:19:39 AM,1.4,13.7,35,Southern California,"(34.5182, -118.8167)"
ak,10558786,1,09/13/2012 01:00:55 AM,1.9,41.8,17,Southern Alaska,"(61.0341, -150.1456)"
pr,12257003,0,09/13/2012 12:58:50 PM,2.6,6,4,Puerto Rico region,"(18.1273, -65.665)"
ak,10558773,1,09/13/2012 12:22:57 PM,2.6,31.6,52,Southern Alaska,"(61.5703, -146.3551)"
ak,10558771,1,09/13/2012 12:07:52 PM,1.6,20.1,8,"Southern Yukon Territory, Canada","(60.0709, -140.9093)"
ak,10558765,1,09/13/2012 11:57:42 AM,1.7,27.5,6,"Kenai Peninsula, Alaska","(60.5467, -151.8596)"
uw,60451197,2,09/13/2012 11:52:57 AM,1.1,16.6,31,Washington,"(46.5543, -122.4432)"
ak,10558759,1,09/13/2012 11:45:50 AM,2.1,0.7,14,Southern Alaska,"(60.4959, -153.7648)"
us,c000cmsq,C,09/13/2012 11:19:07 AM,4.4,300.7,136,Mariana Islands region,"(21.6711, 142.9236)"
ci,15215009,2,09/13/2012 10:52:28 AM,2.1,10.4,108,Southern California,"(33.7287, -117.49)"
ak,10558745,2,09/13/2012 10:28:37 AM,2.1,1.7,25,Gulf of Alaska,"(58.9839, -150.6064)"
nc,71841595,1,09/13/2012 10:22:07 AM,1.4,3,24,Northern California,"(38.8158, -122.8195)"
mb,12178405,2,09/13/2012 10:17:21 AM,2.4,12.4,39,western Montana,"(46.092, -111.9108)"
uu,09130932,2,09/13/2012 09:32:17 AM,1.4,0,11,Utah,"(39.711, -110.614)"
nc,71841585,1,09/13/2012 09:32:11 AM,1.4,3.1,25,Northern California,"(38.8162, -122.82)"
nc,71841580,0,09/13/2012 09:25:33 AM,1.2,3.2,21,Northern California,"(38.8167, -122.8212)"
ak,10558735,1,09/13/2012 09:16:32 AM,1.6,61.3,10,Southern Alaska,"(61.9419, -150.7618)"
nc,71841575,1,09/13/2012 09:16:00 AM,1.9,3.3,41,Northern California,"(38.8338, -122.7942)"
ak,10558727,1,09/13/2012 09:06:37 AM,1.6,100.2,22,Central Alaska,"(63.7354, -147.5385)"
ak,10558726,1,09/13/2012 09:06:26 AM,1.5,0.1,7,Alaska Peninsula,"(57.9643, -155.8607)"
hv,60397361,1,09/13/2012 09:00:38 AM,2,33.2,25,"Island of Hawaii, Hawaii","(19.1572, -155.4808)"
ci,15214985,0,09/13/2012 08:59:54 AM,1.6,15.1,14,Southern California,"(32.9608, -115.6132)"
nn,00388467,9,09/13/2012 08:59:23 AM,2.4,3,6,Nevada,"(39.5524, -116.9616)"
nc,71841565,0,09/13/2012 08:42:17 AM,1.2,2.4,12,Northern California,"(38.8225, -122.8082)"
nc,71841560,0,09/13/2012 08:40:24 AM,1,1.7,15,Northern California,"(38.8297, -122.7565)"
nm,091312a,A,09/13/2012 08:40:12 AM,1.6,7.9,12,Tennessee,"(36.2633, -89.4802)"
hv,60397351,1,09/13/2012 08:37:39 AM,1.7,8.8,40,"Island of Hawaii, Hawaii","(19.3748, -155.4513)"
ak,10558709,1,09/13/2012 08:34:29 AM,2.9,99.8,50,Southern Alaska,"(59.9864, -152.7152)"
ci,15214977,2,09/13/2012 08:31:59 AM,1,19.6,86,Southern California,"(33.8907, -116.7912)"
hv,60397346,1,09/13/2012 08:25:49 AM,2.1,15.8,7,"Island of Hawaii, Hawaii","(19.2748, -155.0265)"
ci,15214969,2,09/13/2012 08:22:13 AM,1.5,0.1,18,"Baja California, Mexico","(32.3683, -115.2513)"
us,c000cmri,6,09/13/2012 08:17:55 AM,4.7,24.5,41,Pakistan,"(30.0489, 70.1736)"
us,c000cmrf,5,09/13/2012 08:01:43 AM,4.4,18,0,southern Iran,"(26.828, 53.863)"
nc,71841545,0,09/13/2012 07:59:19 AM,1,2.3,13,Northern California,"(38.7915, -122.7298)"
ci,15214953,4,09/13/2012 07:42:01 AM,1,7.3,14,Central California,"(35.7003, -118.3655)"
ci,15214945,2,09/13/2012 07:36:56 AM,1.3,6.1,35,Southern California,"(33.0185, -115.5408)"
pr,12257002,0,09/13/2012 07:35:31 AM,3.1,43,4,Virgin Islands region,"(19.1303, -64.568)"
ak,10558696,1,09/13/2012 07:14:35 AM,1.6,28.3,15,Southern Alaska,"(61.8058, -149.955)"
nc,71841535,1,09/13/2012 07:07:20 AM,1.7,1,25,Northern California,"(38.8118, -122.8127)"
ci,15214921,2,09/13/2012 06:59:54 AM,1.1,6.8,34,Southern California,"(33.0172, -115.5432)"
ak,10558686,1,09/13/2012 06:54:11 AM,1.7,0.2,13,Southern Alaska,"(61.8979, -149.6003)"
ak,10558680,1,09/13/2012 06:49:19 AM,3,192.5,46,Southern Alaska,"(60.1508, -153.8984)"
uu,09130645,2,09/13/2012 06:45:31 AM,1,2.6,10,"Yellowstone National Park, Wyoming","(44.4488, -110.9778)"
ci,15214905,2,09/13/2012 06:42:52 AM,1.3,18.5,78,Southern California,"(33.7087, -116.7615)"
uu,09130640,2,09/13/2012 06:40:40 AM,1.5,7.5,13,"Yellowstone National Park, Wyoming","(44.4543, -110.9895)"
ak,10558673,1,09/13/2012 06:24:09 AM,1.2,99.5,5,Central Alaska,"(63.173, -149.7634)"
pr,12257001,0,09/13/2012 06:04:12 AM,2.8,99,6,Virgin Islands region,"(19.131, -63.8987)"
ak,10558649,2,09/13/2012 05:58:04 AM,4,102.5,112,Southern Alaska,"(59.6104, -153.1295)"
hv,60397296,1,09/13/2012 05:55:49 AM,2,38.4,23,"Island of Hawaii, Hawaii","(19.2187, -155.4188)"
us,c000cmq8,9,09/13/2012 05:54:47 AM,5.4,10,179,Philippine Islands region,"(10.268, 126.9893)"
us,c000cmrg,4,09/13/2012 05:46:13 AM,4.2,56.9,26,Guatemala,"(14.0391, -90.9812)"
ak,10558644,1,09/13/2012 05:25:27 AM,1.9,66.8,29,Central Alaska,"(63.03, -148.0397)"
ak,10558643,2,09/13/2012 05:13:43 AM,2.3,75.5,10,"Fox Islands, Aleutian Islands, Alaska","(53.0276, -167.6315)"
hv,60397281,1,09/13/2012 05:11:27 AM,1.9,33.5,30,"Island of Hawaii, Hawaii","(19.1767, -155.4793)"
ak,10558631,1,09/13/2012 05:04:06 AM,2.4,128.1,36,Central Alaska,"(62.3365, -151.845)"
ak,10558624,2,09/13/2012 04:55:17 AM,2.4,18.4,8,"Fox Islands, Aleutian Islands, Alaska","(52.6832, -168.1954)"
ak,10558621,1,09/13/2012 04:54:16 AM,2.7,100,21,Southern Alaska,"(59.1275, -154.0396)"
mb,28472,1,09/13/2012 04:42:44 AM,2.3,0,18,western Montana,"(46.8335, -111.956)"
nc,71841515,3,09/13/2012 04:38:39 AM,2.1,35.3,25,Northern California,"(40.8157, -123.2677)"
ak,10558611,1,09/13/2012 04:29:55 AM,1.6,96.3,19,Central Alaska,"(63.0632, -150.4856)"
uw,60451092,1,09/13/2012 04:06:44 AM,1,18.6,31,Washington,"(46.5062, -122.4262)"
ak,10558596,1,09/13/2012 03:48:46 AM,2.1,100.7,21,Southern Alaska,"(61.4275, -151.8002)"
